uniq,relid,year,active_year,code_status,type_of_violence,source_article,source_original,conflict_id,conflict_name,dyad_id,dyad_name,side_a,side_a_id,side_b,side_b_id,where_location,where_prec,country,isocc,isonumber,gwno,region,adm1,adm2,lat,lng,geocomment,priogrid_gid,date_start,date_end,date_prec,event_type,deaths_a,deaths_b,civilian_deaths,unknown,best_est,high_est,low_est,deathsplit,dyad_unique,geom_wkt
18591,NIG-1997-2-86-7.2,1997,1,clear,2,Reuters 28-Apr-97,,86,Ijaw - Itsekiri,86,Ijaw - Itsekiri,Ijaw,1477,Itsekiri,1480,Omadima village Delta state,1,Nigeria,NGA,566,475,Africa,Delta,Warri South,5.626158,5.651453,,137892,4/28/1997,4/28/1997,1,1,0,0,0,2,2,2,2,1,20086,POINT(5.651453 5.626158)
18592,NIG-1997-2-86-8,1997,1,clear,2,Reuters 9-May-97,local newspaper,86,Ijaw - Itsekiri,86,Ijaw - Itsekiri,Ijaw,1477,Itsekiri,1480,Warri town  Delta state,1,Nigeria,NGA,566,475,Africa,Delta,Warri South,5.5167,5.75,,137892,5/8/1997,5/8/1997,1,1,0,0,0,2,2,2,2,0,20086,POINT(5.75 5.5167)
18595,NIG-1997-2-86-9,1997,1,clear,2,Reuter 17-Jun-97,,86,Ijaw - Itsekiri,86,Ijaw - Itsekiri,Ijaw,1477,Itsekiri,1480,Warri town  Delta state,1,Nigeria,NGA,566,475,Africa,Delta,Warri South,5.5167,5.75,,137892,6/15/1997,6/16/1997,2,3,0,0,0,18,18,18,18,0,20086,POINT(5.75 5.5167)
18596,NIG-1997-2-86-10.1,1997,1,clear,2,Reuter 21-jul-97,,86,Ijaw - Itsekiri,86,Ijaw - Itsekiri,Ijaw,1477,Itsekiri,1480,Liama village  Bayelsa state,1,Nigeria,NGA,566,475,Africa,Bayelsa,Brass,4.286446,6.175545,,135733,7/10/1997,7/20/1997,0,2,0,0,0,0,0,15,0,1,20086,POINT(6.175545 4.286446)
18597,NIG-1997-2-86-10.2,1997,1,clear,2,Reuter 21-jul-97,,86,Ijaw - Itsekiri,86,Ijaw - Itsekiri,Ijaw,1477,Itsekiri,1480,Beletiama village  Bayelsa state,1,Nigeria,NGA,566,475,Africa,Bayelsa,Brass,4.287431,6.200236,,135733,7/10/1997,7/20/1997,0,2,0,0,0,0,0,15,0,1,20086,POINT(6.200236 4.287431)
18706,NIG-2000-2-256-2.1,2000,1,clear,2,Reuters 16-Mar-00,,256,Ife - Modakeke,256,Ife - Modakeke,Ife ,1817,Modakeke,1818,Ife town  Osun state,1,Nigeria,NGA,566,475,Africa,Osun,Ife Central,7.466667,4.566667,,140050,3/16/2000,3/16/2000,1,1,0,0,0,2,2,2,2,1,20256,POINT(4.566667 7.466667)
18707,NIG-2000-2-256-2.2,2000,1,clear,2,Reuters 16-Mar-00,,256,Ife - Modakeke,256,Ife - Modakeke,Ife ,1817,Modakeke,1818,Modakeke town  Osun state,1,Nigeria,NGA,566,475,Africa,Osun,Irewole,7.383333,4.266667,,140049,3/16/2000,3/16/2000,1,1,0,0,0,1,1,1,1,1,20256,POINT(4.266667 7.383333)
18708,NIG-2000-2-256-3.1,2000,1,clear,2,Reuters 20-Mar-00,police,256,Ife - Modakeke,256,Ife - Modakeke,Ife ,1817,Modakeke,1818,Ife town  Osun state,1,Nigeria,NGA,566,475,Africa,Osun,Ife Central,7.466667,4.566667,,140050,3/18/2000,3/20/2000,0,2,0,0,0,11,11,11,11,1,20256,POINT(4.566667 7.466667)
18709,NIG-2000-2-256-3.2,2000,1,clear,2,Reuters 20-Mar-00,police,256,Ife - Modakeke,256,Ife - Modakeke,Ife ,1817,Modakeke,1818,Modakeke town  Osun state,1,Nigeria,NGA,566,475,Africa,Osun,Irewole,7.383333,4.266667,,140049,3/18/2000,3/20/2000,0,2,0,0,0,11,11,11,11,1,20256,POINT(4.266667 7.383333)
9283,CAO-1994-3-471-1,1994,1,clear,3,BBC  1994-01-10,Nigerian Defence Ministry,471,Government of Cameroon - civilians,471,Government of Cameroon - civilians,Government of Cameroon,471,civilians,9999,Abana town,1,Nigeria,NGA,566,475,Africa,Akwa Ibom,Mbo,4.594714,8.339108,Not Cross River as stated in the source  Akwa Ibom state was split from Cross River state in 1989.,136457,1/7/1994,1/7/1994,1,1,0,0,0,0,0,6,0,0,30471,POINT(8.339108 4.594714)
18589,NIG-1997-2-86-6,1997,1,clear,2,Reuters 25-Apr-97,,86,Ijaw - Itsekiri,86,Ijaw - Itsekiri,Ijaw,1477,Itsekiri,1480,Koko town  Delta state,1,Nigeria,NGA,566,475,Africa,Delta,Warri North,6.001093,5.467541,,138611,4/23/1997,4/23/1997,1,1,0,0,0,0,0,5,0,0,20086,POINT(5.467541 6.001093)
